t,x,y,z
0.169069,773.997009,1672.75,409.121979
0.179075,769.863037,1624.869995,393.809998
0.189049,762.325012,1576.459961,383.213989
0.199048,759.854004,1517.590088,370.158997
0.209077,756.819031,1433.390015,367.478027
0.219012,748.172974,1416.919922,338.931
0.229081,745.680969,1349.099976,330.794006
0.239111,743.125977,1283.709961,320.807007
0.24904,736.222046,1270.560059,282.501007
0.259019,733.071045,1171.929932,285.540985
0.269061,731.316956,1148.359985,251.807983
0.279047,728.224976,1055.880005,251.33699
0.288052,722.858032,1021.800049,222.755005
0.30809,714.880981,924.601013,174.815994
0.318026,711.000977,883.265991,145.207001
0.328028,706.790955,822.648987,124.558998
0.338033,701.452942,792.468018,89.564598
0.348013,698.815002,724.604004,74.139603
0.358026,696.252014,659.23999,57.0257
0.3681,689.721985,629.536987,29.1894
0.378035,686.415955,593.046997,52.547398
0.388032,683.330994,557.389038,77.123901
0.408024,678.377991,481.378998,119.374001
0.418087,678.200012,425.608002,151.50499
0.42808,673.646973,394.100006,166.761002
0.437098,671.998962,364.051025,179.603989
0.44704,667.734009,334.223999,193.998001
0.477081,662.807007,201.091003,252.254013
0.487038,657.229004,174.520004,258.911011
0.497036,657.031006,136.263,272.966003
0.507019,653.990967,104.986,277.613007
0.517021,651.180054,68.252098,288.209991
0.527021,647.065979,38.3214,292.578003
0.537023,644.281982,3.20492,299.800995
0.547035,641.320007,-31.422998,304.156982
0.557038,638.612976,-70.522102,312.531006
0.567099,635.753967,-103.084999,313.453003
,,,
0,546.878967,2867.27002,359.894989
0.009985,548.364014,2740.51001,372.427002
0.020055,551.314026,2644.099854,364.681
0.030001,547.236023,2568.97998,357.803986
0.039981,548.308044,2457.25,355.613007
0.049999,540.337952,2450.330078,326.242004
0.060034,544.061035,2324.969971,326.972015
0.069989,539.710999,2261.780029,310.628998
0.080005,537.14801,2143.120117,314.479004
0.089996,532.527954,2086.129883,291.457001
0.100005,520.257019,2082.699951,253.883987
0.109973,523.863037,1974.679932,251.237991
0.129019,516.480957,1822.049927,217.742996
0.13902,506.626007,1805.459961,176.987015
0.148995,509.075989,1679.949951,178.81601
0.159018,503.664001,1650.159912,141.554001
0.16908,495.074005,1605.219971,109.927002
0.179079,491.084015,1503.100098,104.051003
0.189006,487.515991,1434.26001,81.158897
0.199028,483.77298,1367.650024,56.543102
0.209086,482.677002,1289.660034,39.748402
0.219038,477.575012,1249.900024,57.8447
0.22903,471.929993,1223.070068,70.725601
0.239027,464.197998,1170.930054,95.816299
0.249005,460.14801,1121.880005,117.477997
0.259009,453.779999,1084.810059,134.360992
0.269056,449.777985,1038.050049,153.134003
0.288072,439.442017,936.429016,193.999008
0.298037,436.239014,883.611023,211.524002
0.308021,428.429993,851.122009,221.112991
0.31803,425.971008,791.306946,239.875
0.328001,425.787994,724.260986,261.77002
0.338011,423.490997,668.432007,279.317993
0.348003,414.097015,658.786987,269.603027
0.358079,409.579987,595.974976,287.07901
0.36801,406.338013,553.101013,293.191986
0.378079,397.429993,526.808044,290.962006
0.388043,392.183014,476.587006,299.166992
0.398009,386.164978,435.328979,302.334015
0.426999,373.18399,297.311005,310.513
0.436999,369.980011,246.846008,313.071014
0.447007,362.67099,210.684006,308.057983
0.467003,354.225983,121.352997,304.471985
0.477057,348.591003,74.956299,302.832001
0.487047,344.247986,36.462399,293.357025
0.497066,336.819,3.65383,281.588989
0.50701,333.297028,-39.721001,274.296997
